Amazonas, AM, 1570,7
Pará, PA, 1247,6
Mato Grosso, MT, 903,3
Minas Gerais, MG, 587,5
Bahia, BA, 564,6
Mato Grosso do Sul, MS, 357,1
Goiás, GO, 340,0
Maranhão, MA, 332,0
Rio Grande do Sul, RS, 281,7
Tocantins, TO, 277,6
Piauí, PI, 251,5
São Paulo, SP, 248,2
Rondônia, RO, 237,5
Roraima, RR, 224,2
Paraná, PR,	199,3
Acre, AC, 152,5
Ceará, CE, 148,8
Amapá, AP, 142,8
Pernambuco, PE, 98,3
Santa Catarina, SC, 95,3
Paraíba, PB, 56,4
Rio Grande do Norte, RN, 52,8
Espírito Santo, ES, 46,0
Rio de Janeiro, RJ,	43,6
Alagoas, AL, 27,7
Sergipe, SE, 21,9
Distrito Federal, DF, 5,8